Year,Semester,Academic Year,CRN,Subject ,Course,Course Type,Credits,Title,Cap,Act,Instructor,Contact Hours,Faculty Type
2017,Fall,2017-2018,33061,CSIS,251,CS,0,Discrete Structures-Lab,18,17,James R. Matthews (P),1.5,Tenure/Tenure Track
2017,Fall,2017-2018,30918,CSIS,251,CS,0,Discrete Structures-Lab,18,11,James R. Matthews (P),1.5,Tenure/Tenure Track
2017,Fall,2017-2018,33060,CSIS,251,CS,4,Discrete Structures,32,27,James R. Matthews (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,31547,CSIS,251,CS,4,Discrete Structures,24,19,James R. Matthews (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30456,CSIS,350,CS,3,Database Management Systems,28,28,Scott L. Vandenberg (P),3.0,Tenure/Tenure Track
2017,Fall,2017-2018,33612,CSIS,380,CS,0,Computer Graphics - Lab,18,18,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,33611,CSIS,380,CS,3,Computer Graphics,18,18,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,33613,CSIS,400,CS,3,Unix/Linux,16,16,Ira J Goldstein (P),3.0,Tenure/Tenure Track
2017,Fall,2017-2018,33794,CSIS,400,CS,3,Parallel Proc/High Perf Comp,17,15,James D. Teresco (P),3.0,Tenure/Tenure Track
2017,Fall,2017-2018,34100,CSIS,401,CS,3,Robotics,16,16,Sharon A. Small (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,34098,CSIS,401,CS,0,Robotics Lab,16,16,Ting Liu (P),2.0,Tenure/Tenure Track
